episode,title,plot
2.3,Red Light on the Wedding Night,"During a wild bachelorette party thrown by Sookie, Lorelai makes an impulsive phone call to Rory's dad Christopher and sadly realizes that Max is not the man for her."
2.4,The Road Trip to Harvard,The Gilmore Girls' road trip takes them to a most unusual bed and breakfast and more importantly to tour Harvard and Rory's possible future. Meanwhile Lorelai decides to move forward with her dream of opening an inn.
2.5,"Nick and Nora, Sid and Nancy","Lorelai's well-intentioned advice falls on deaf ears when Luke reluctantly takes in his wild 17-year-old nephew Jess, while Rory finds herself attracted to the town's newest resident."
2.6,Presenting Lorelai Gilmore,"Rory surprises everyone by agreeing to Emily's request that she make her debut at a Debutante Ball, and when Lorelai asks Rory's dad Christopher to present his daughter to society, she finds herself attracted to the new, more responsible man he has become."
2.7,"Like Mother, Like Daughter",Chilton's headmaster Charleston thinks Rory isn't properly socializing and when Lorelai disagrees he tells her Rory may be taking after her mom. Rory's attempt to reach out gets her involved with a sorority while Lorelai becomes a booster.
2.8,The Ins and Outs of Inns,"Lorelai and Sookie have the first fight of their long friendship when, upon hearing that the Independence Inn may be sold, Lorelai panics and decides that their shared dream of opening an inn together is doomed to failure."
2.9,"Run Away, Little Boy","When Rory and Tristan are cast as Romeo and Juliet in a school play, a jealous Dean insists on attending every rehearsal, forcing Rory to beg Tristan not to tell Dean about the time they shared a kiss, while Lorelai has to put up with Luke's teasing after she dates a much younger guy."
2.1,The Bracebridge Dinner,"While Rory struggles to keep the budding rivalry between Dean and Jess under control, Lorelai invites most of the citizens of Stars Hollow to an elaborate feast complete with Elizabethan costumes and horse-drawn sleigh rides, during which Richard announces to Emily that he has retired."
2.11,Secrets and Loans,Lorelai's concern over the fact that she can't afford to repair her home's extensive termite damage turns to anger when Rory tells Emily about their problem and Emily again offers Lorelai a loan.
2.12,Richard in Stars Hollow,"Newly retired Richard is driving Emily crazy, so Lorelai is coerced into taking her father for a day in Stars Hollow, where he proceeds to drive both Lorelai and Rory batty while criticizing every aspect of their lives and refusing to let Rory accept the car that Dean has built for her."
2.13,"A-Tisket, A-Tasket","During the annual Stars Hollow charity picnic basket auction, both Lorelai and Rory's baskets have more competition then they both anticipated. Meanwhile Jackson refuses to bid on Sookie's basket leading them to work on their communication. Rory and Lorelai have their own communication problems but work it out after Emily sides with Lorelai's initial reaction to Jess worming his way into Rory's life."
2.14,It Should've Been Lorelai,"Christopher and his girlfriend Sherry visit Stars Hollow leading Sherry to push for a Friday night out alone with Rory to bond. So Lorelai takes Christopher to a tumultuous Friday night dinner at her parents. Lorelai, thinking she missed out on a life with Christopher, confesses her self-realization."
2.15,Lost and Found,"Rory panics when she suddenly realizes that she lost the bracelet Dean made for her, and when a suspicious Lorelai catches Jess in Rory's room, she accuses him of stealing the bracelet. Meanwhile, Luke goes a little stir-crazy after living with Jess in the tiny apartment over the diner, and he impulsively buys the building so he can expand."
2.16,There's the Rub,"Lorelai and Emily spend a weekend at a health spa, but they sneak out for some real food at a local restaurant where Emily dances with a distinguished stranger, then blames Lorelai for her feelings of guilt. Back at home, Rory looks forward to a rare evening alone, but when Paris, Jess and Dean all drop by to keep her company, the sparks fly."
2.17,Dead Uncles and Vegetables,"Lorelai and Rory help out at the diner while Luke is left to plan his unpleasant uncle's funeral, which causes him to reflect on his own existence. Meanwhile, Emily lends a hand planning Sookies wedding and the skies the limit."
2.18,Back in the Saddle Again,"After helping Rory out with her business project for the annual Chilton Business Fair, Richard realizes retirement isn't for him. Meanwhile Dean, for good reason, is feeling insecure about Rory. Michel's mother visits and their once great relationship is over after Lorelai interferes."
2.19,Teach Me Tonight,"Luke asks Rory to tutor Jess who is close to failing, but Jess uses it to get closer to Rory and when they get into a car accident, Lorelai takes it out on Luke for taking Jess in to begin with. Lorelai takes over the movie selection for the town square movie night, but in the end realizes why Taylor chooses the same movie every year and Kirk uses the night to show of his work."
2.2,Help Wanted,"Lorelai helps her dad open his new office and gets the cold shoulder when she tells him she has a job already. Rory tries to let everyone know Jess wasn't the only one at fault for the accident and with a new music store in town, Lane discovers her new love."
2.21,Lorelai's Graduation Day,"After doing her best to avoid Luke, Lorelai can't avoid the inevitable, but Luke isn't ready to patch things up yet. Rory invites her grandparents to her mom's graduation, but misses it herself after cutting school to meet Jess in New York."
2.22,I Can't Get Started,"It's Sookie's wedding day and Jackson is wearing a kilt. Jess and Rory happen to see each other before the wedding, which Rory and Lorelai are part of. Chris has to leave because his girlfriend calls with some news."
3.1,Those Lazy-Hazy-Crazy Days,"Rory returns from Washington just in time for the First Annual Stars Hollow End of Summer Madness Festival where she realizes her feelings for Jess might be a lot stronger than she thought, but is it too late to do anything about it? Lorelai is having strong feelings of her own."
3.2,Haunted Leg,"Christopher tries to talk to the Gilmore girls, but Emily saves the day. Francie tries to assert her power on the student council. Meanwhile Rory and Jess have it out about their hurt feelings and are Lorelai and Kirk dating?"
3.3,Application Anxiety,"As college nears, Rory receives her Harvard application leading her and Lorelai to have lunch with an alumni to see if she stands a chance at getting in, but the college talk has Dean worried about their future. Meanwhile Taylor decides to open an old soda shop next to Lukes and Lane advertises for a band member. "
3.4,One's Got Class and the Other One Dyes,"Lorelai and Luke are asked to speak about their success at the local high school, but things don't go quite like Lorelai planned. Lane asserts her independence, at least for a short time."
3.5,Eight O'Clock at the Oasis,"Lorelai is cornered by a new local and talked in to watering his garden whilst he's away on a business trip. When Lorelai has to get to work, she asks Rory to take over, but when things go wrong she has to enlist Jess' help. Lorelai also asks Emily for help finding a guy she met at an auction house, but realizes he's not quite what she anticipated."
3.6,Take the Deviled Eggs,"Rory is invited to Sherry's baby shower and Lorelai gets pulled in with her. Between Sherrys good will and the party poppers, Lorelai is at her breaking point and feels the need to let off some steam. Jess comes home with a car and the town gathers for a not so successful town demonstration.... stop the noodle shoes????"
3.7,"They Shoot Gilmores, Don't They?","It's time for the annual Stars Hollow Dance marathon again and Lorelai is determined to win. Dean sits in the bleachers to support Rory, but so does Jess whose intentions aren't quite so innocent."
3.8,Let the Games Begin,"Sore from the dance marathon and the break up with Dean, Rory and Lorelai adjust to having Jess and Rory going together. Richard corners Rory and invites her to a Yale reunion where he has more plans than he tells her. Rory apologizes to Dean and Lorelai and Rory both consider Yale."
3.9,A Deep-Fried Korean Thanksgiving,Rory and Lorelai work to fit in four thanksgiving dinners but they don't eat much at the family dinner when Lorelai finds out Rory applied at more colleges then just Harvard. Lane has her first kiss and human Kirk and cat Kirk have a little adjusting to do.
3.1,"That'll Do, Pig","It's Richards's birthday and his mother arrives from Europe to help celebrate and announce she's moving back to the states, but not everybody is happy about the news. Rory has her hands full at school with Francie and her and Dean decide to be friends, which has Jess a little insecure. "
3.11,I Solemnly Swear,Emily is being sued by a maid for wrongful termination and asks Lorelai to attest to her character. Francie manages to come between Paris and Rory leaving Rory out in the cold and Sookie unwittingly sets up a date with an old friend.
3.12,Lorelai Out Of Water,"Lorelai and Rory clean out the garage so Lane's band can use it for practice. Luke and lawyers don't mix except for maybe Taylors new attorney. Paris tries to impeach Rory during the student council meeting, which gets them both sent to the head masters office. Lane's prom plans back fire. "
3.13,Dear Emily and Richard,"When Sherry goes into labor and asks Rory to be with her at the hospital, Lorelai is reminded of the day Rory was born. Flashbacks tell the story of 16-year-old Lorelai as she learns she is pregnant, decides not to marry Christopher, and ultimately leaves home with her new baby."
3.14,Swan Song,"Lorelai, Alex, Sookie, and Jackson all go to spend a weekend in Manhattan, but she's concerned about leaving Rory alone with chances of Jess coming over. But, there is no chance for it, as Jess and Rory get in a fight and he walks out on Friday night dinner at the grandparents'."
3.15,Face-Off,"Richard's mother, Lorelai the First, comes to visit and drives Emily crazy, until Emily discovers some dirt on the old woman. Taylor's family is in town for a family reunion and the regional hockey semi-finals. Even Rory goes to watch the game when she tires of waiting home by the phone for Jess to call. At the game, Rory discovers out that Dean has a new girlfriend."
3.16,The Big One,"Paris and Rory reconcile so they can put together their speeches for the Chilton bicentennial, which turns out to be a disaster after Paris gets the small envelope in the mail. Lorelai and Max run into each other and realize their feelings still run deep, and Rory gets the big envelope."
3.17,A Tale of Poes and Fire,"Luke realizes Jess is working more then he should be and going to school less. Meanwhile, Lorelai keeps busy with the Poe Society in town, but when a fire breaks out at the Independence Inn, Lorelai scrambles to find places for the Inn's guests, leaving her bed-less until Luke takes her in where he learns of her marriage dream. Sookie takes over Luke's diner to keep the guests eating. "
3.18,"Happy Birthday, Baby","Rory announces her college decision to her grandparents delight. Meanwhile she's busy trying to plan for her mom's birthday by having the largest pizza made, but it turns out to not be the largest, it's not even the tri-counties largest. But Lorelai's biggest surprise comes in the form of a check for $75,000 which has the Gilmore's at odds again. Luke loses it while meeting Nicole's parents after finding out Jess isn't sticking to his end of their bargain."
3.19,Keg! Max!,"Off the hook now for Friday night dinners, Lorelai and Rory can't decide how to spend their night while Emily and Richard go all out. Lane's still unnamed band first gig rocks the house, but Lane and Dave focus on other things which causes her to hit the booze and confess their deception to her mom. Jess and Rory have their own communication problems which causes Dean to intervene in a destructive fashion. Lorelai sees Luke and Nichole happy and gets jealous."
3.2,"Say Goodnight, Gracie","As the news spreads about the fight, Luke lays down the law to Jess about his failures, but with their agreement broken, Jess only sees one way out. Lane gets to go to the prom, but not exactly like she planned. Dean gets engaged and when beloved Fran Weston passes on, Lorelei and Sookie see if they can buy the Dragonfly Inn."
3.21,Here Comes the Son,"While Rory frets over her last term of finals before graduation, Jess finds himself in Venice, California where he rejoins his Dad and meets his live-in girlfriend and her book loving daughter."
3.22,"Those are strings, Pinocchio","As graduation day approaches, Rory learns her financial aid was rejected so she turns to her grandparents for help, despite the strings attached. This means Lorelai can use the rest of her money to buy the Dragonfly Inn. Rory gets a call from Jess (she thinks) and Luke has second thoughts about Nicole when Lorelai opens up to Luke."
4.1,Ballroom and Biscotti,Lorelai and Rory return from their summer backpacking trip to Europe only to discover Rory miscalculated how much more time she had off till school starts which puts her in a bind with Taylor and Lorelai in a bind with Emily. Luke's summer cruise with Nicole got him in a bind and Sookie is almost ready to have her baby.
4.2,The Lorelais' First Day at Yale,"Always willing to help, Luke lends his truck to Lorelai to get Rory moved into her dorm despite how much trouble it turns out to be. Meanwhile, the Gilmores realize Rory is growing up, but Lorelai helps her ease into her new life. Paris turns out to be one of Rory's new roommates and not by accident. Luke has to deal with his pending divorce."
4.3,"The Hobbit, the Sofa and Digger Stiles","To earn some money before the baby arrives, Sookie asks Lorelai if they can cater a kids party but Sookie doesn't know what kids like. Emily sets Rory up the proper way and Richard contemplates a business partner."
4.4,Chicken or Beef,Lorelai needs to get permits approved before they can move forward with the inn and learns that business also involves back room deals. Rory runs into Dean who invites her to his wedding.
4.5,The Fundamental Things Apple,"After reflecting on her lack of social life, Rory decides to try dating and finds it harder than it looks. Lorelai is still adjusting to an empty house and has Luke over to try to fill the gap. Meanwhile Lorelai is somewhat disturbed after discovering that the designer she just hired to decorate the inn used to work for Emily."
4.6,An Affair to Remember,Rory's roommates have her on edge so she tries to find the perfect place to study. Meanwhile Emily hires Sookie and Lorelai to cater Richard's office party only to find out Jason has other ideas.
4.7,The Festival of Living Art,"Stars Hollow is asked to host a Festival of Living Pictures when a neighboring town backs out, inspiring the town regulars pitch in to pull it off in only a week. Lane finds the perfect guitarist to replace Dave, but Zach objects because of his age. Sookie and Jackson hire one of the best midwifes on the eastern seaboard. Luke and Nicole decide to hold off on their divorce."
4.8,"Die, Jerk","After receiving advice from the Yale Daily News editor on what he is looking for, Rory's next article is a huge hit with everybody except the dancer she reviewed. Richard and Emily return from their Atlantic City business trip while Lane is told to send a special jug to Dave in California. Lorelai confronts Luke about his relationship with Nicole and Bruce confronts Lorelai and her anti midwife energy on retarding the baby's acquisition rate."
4.9,Ted Koppel's Big Night Out,"At lunch, Richard introduces Rory and Paris to his old friend who Paris is more than intrigued with. Meanwhile it's time for the Yale/Harvard game and the Gilmores go in style, happy flask and all till Emily realizes she's been deceived for many years which inadvertently pushes Lorelai into the arms of Jason."
4.1,The Nanny and the Professor,"Luke hires Lane to help out at the diner. Rory isn't happy Paris is dating her new teacher. Lorelai and Jason decide to keep their relationship from her parents at least for now and Michel, out of jealousy babysits Davey."
4.11,In the Clamor and the Clangor,"Lane's band gets a gig at famous CBGB's in New York, but it doesn't come without a price. Luke and Lorelai make up to silence the newly restored bells but only after Lorelai realizes maybe Luke hasn't moved completely away and Rory confronts William about their relationship."
4.12,A Family Matter,"Lane fits right in at Yale, almost. Luke's sister Liz visits for her high school reunion and Jess returns to get his car. Meanwhile with Jaime in town, Rory makes Paris decide between her two guys. Lorelai finds money is tight. She and Jason agree to let her parents know they've been dating, but that's easier said than done."
4.13,Nag Hammadi is Where They Found the Gnostic Gospels,"It's firelight festival time again and with Taylor stuck out of town, Kirk tries to fill in. Luke meets his sister Liz's latest boyfriend, Lorelai meets Liz and realizes Luke really is always there for them and Jess, anxious to get out of town as soon as his car is repaired, stirs up trouble with family and friends."
4.14,The Incredible Shrinking Lorelais,Lane moves in with Lorelai for the time being and lets Mrs. Kim know who advises her to wear socks. Lorelai the first visits and learns that Lorelai's inn construction is costing more then anybody expected. Lorelai and Rory play phone tag as their frustrations mount. Lorelai's financial woes reach a boiling point and so does Rory's school pressures as each have a melt down with the strong married men in their lives.
4.15,Scene in a Mall,"Kirk tries his hand at dog sitting meanwhile the Gilmore girls are finally able to connect and decide to spend some quality time together window shopping, but with both of them ""skint"", shopping isn't much fun. The two run into Emily on a shopping binge... angry and upset about her marriage, lack of accomplishments and a little jealous of her daughter."
4.16,The Reigning Lorelai,Lorelai the first passes on suddenly leaving Richard a mess and Emily handling all the arrangements till she discovers a letter Trix wrote Richard the day before he and Emily married. Lorelai finishes up the arrangements the best she can. Luke and Nicole quarrel in the town square and bar glass pinching cousin Marilyn reminisces about Lorelai the First's full life.
4.17,"Girls in Bikinis, Boys Doin' The Twist","Rory and Paris flee from a rainy Dickens-like late winter for a week in Florida for college spring break with the socially awkward Glen and the fitness-freak Janet. There, Rory and Paris meet old school friends Madeline and Louise, the party queens of the area, who give them some pointers for partying, in which Paris goes out of her way to get some attention. Back in Stars Hollow, Lorelai struggles with her growing romance with Jason while she's forced to bail out Luke from jail when he's arrested over stalking his former girlfriend. "
4.18,"Tick, Tick, Tick, Boom!","Richard and Jason invite Jason's father for dinner only to discover he wants to ruin their competing company. Rory tells Lane what she thinks of Dean's selfish wife, not knowing Lindsay can hear her. And after months of deception, Richard and Emily learn Jason and Lorelai have been dating."
4.19,Afterboom,"Luke and Nicole finalize their divorce. Lorelai concerned only about Jason, confronts her father on their business problems. Emily too question Richards decisions and gets the cold shoulder which is the final straw for her. Jason then decides to counter sue Richard which leaves Lorelai with only one clear choice. "
4.2,Luke Can See Her Face,Liz returns to Stars Hollow with news that she and TJ will marry next week in the towns square which has Luke asking Jess to attend. Lorelai and Sookie overhear Dean and Lindsay's problems and Luke works on his dating and communication skills with a self help tape that makes him realize that the one has been in front of him the whole time!
4.21,"Last Week Fights, This Week Tights","With Lorelais help, Mrs. Kim and Lane work out their new relationship. Thanks in part to her grandmother, Rory gets stranded on a bad date where she turns to Dean for help. Liz and T.J.'s Renaissance wedding in the town square has Luke and Lorelai enjoying each others company so much so that Luke asks Lorelai for another date and on his way out of town, Jess asks Rory to leave everything and run away with him."
4.22,Raincoats and Recipes,"Using the Dragonfly's practice weekend, Lorelai gets her parents to admit they've separated. Meanwhile Luke, doing everything by the book, feels like an idiot when it looks like Jason and Lorelai are still dating, prompting her to clarify the situation to both of them. Meanwhile Rory takes a big step with her first love and Lorelai reminds her he's married."
5.1,Say Goodbye to Daisy Miller,"Tension is still thick between Rory and Lorelai over Dean, so Rory seeks out Lane's perspective and decides to talk to Dean, which leads to more trouble. Lorelai and Luke clarify their new relationship while Emily announces she and Richard have separated. She and Rory decide to head to Europe to escape their problems."
5.2,"A Messenger, Nothing More","With Lorelai & Rory's relationship still strained and unresolved, Lorelai takes on everything at the inn till Sookie convinces her to take some time off. At the corner of bark and cheese, Rory realizes she was wrong and writes Dean a letter which she asks her mom to deliver. Lane begins to see Zack in a new light and Lindsay finds Rory's letter which leaves Dean out in the cold and without either girl."
5.3,Written in the Stars,Luke and Lorelai enjoy their first official date where Luke tells her he's all in for their relationship. Their new relationship is the basis for the next town hall meeting. Paris has a wake for the passing of her boyfriend and Rory meets a new guy.
5.4,Tippecanoe and Taylor Too,"Fed up with all the hoops Taylor makes Jackson go through, Jackson decides to run for town selectman with Lorelai and Sookie heading up the campaign only to find that he may not want the job after all. Rory and Dean try to work things out, but have trouble finding a place to be together."
5.5,We Got Us a Pippi Virgin,"Jackson is overwhelmed by the demands of his new job while Lorelai and Rory decide to see if they can get Richard and Emily back together. With Dean back in the picture, Lorelai tries to make things right with dinner and a movie, but when Pippi Longstocking isn't a good enough distraction for Luke's feelings that Dean isn't good enough for Rory, Lorelai has to bring out the Bop It!. "
5.6,"Norman Mailer, I'm Pregnant!","Rory, desperate for a story idea for the Yale paper, finally decides to research and write about a secret Yale society which happens to have connections to Logan. The Dragonfly Inn's accountant suggests dropping the lunch menu till the money situation improves, which has Sookie upset with the regularly lunching Norman Mailer, who only orders ice tea. With Luke and Lorelai hitting it off, Rory asks her dad to stay out of the picture. Sookie realizes she's pregnant again."
5.7,"You Jump, I Jump, Jack","When Emily finds out that Lorelai and Luke are dating, she demands Lorelai bring him to dinner to get reacquainted unless the relationship is not serious. Since Richard can't make dinner he invites Luke to the club for a round of golf. Rory reports at the latest Life and Death Brigade event, where she and Logan bond."
5.8,The Party's Over,"Luke tries to smooth things over with Liz and TJ when they stress out about buying a house in Stars Hollow. When Emily learns Rory and Dean are dating again, she calls a temporary truce with Richard to throw a party to introduce Rory to more suitable men. Dean realizes he isn't one of them, and Logan realizes he is."
5.9,Emily Says Hello,"Jackson has his hands full between Sookie's food cravings and his town selectman duties. Lorelai invites Christopher to lunch, but Rory tells him off and asks Lorelai what Luke thinks of her and Christopher having lunch. Emily decides she's still a viable commodity and asks Lorelai to help her start dating. "
5.1,But Not as Cute as Pushkin,"Rory is asked to host a Chilton student for a few days at Yale, but the student is more interested in her freedoms than the responsibilities that go with them. Lorelai learns about Luke's dark day, which happens to fall on the same day as Miss Patty's 40th anniversary party. Logan works his way into Rory's life, prompting her and Richard to pull a little prank of their own."
5.11,Women of Questionable Morals,"Rory continues to give her dad the cold shoulder until she learns his father has passed away. Lorelai spends time comforting Christopher but keeps it from Luke, and Richard and Emily find a lost dog."
5.12,Come Home,"After finding out that Emily started dating again, Richard's jealousy forces him to reconcile and they both agree to renew their wedding vows. Rory offers to help Logan with an article and Emily lets Christopher know Lorelai and Luke are getting serious."
5.13,Wedding Bell Blues,"Emily and Richard renew their vows. Rory experimentally kisses Logan, triggering a turf battle between Luke and her father Chris, who insists that Lorelai's attachment to Luke is temporary, because Emily has convinced Chris that he and Lorelai are meant for each other."
5.14,Say Something,"After all the drama at the wedding, Lorelai is afraid she'll lose Luke, who needs time to process what's happened and finally decides her family and history may be too much for him. She takes to her bed to wallow where Rory tends to her needs while the town takes sides."
5.15,Jews and Chinese Food,"Lorelai is hurt again when she realizes Luke has moved his boat from her garage without even telling her. Luke helps the school kids build the sets for their Fiddler on the Roof play in hopes of working with Lorelai who he is realizing he misses. Rory tries to make up with Marty by hosting a movie night, but Logan interferes."
5.16,SoÉGood Talk,"Luke, upset and missing Lorelai, begins to take it out on his customers. Lane realizes her mom is in her head, and with the grandparents back from their second honeymoon Rory makes it clear that Friday night dinners are just dinner and nothing more. Emily acts like she doesn't realize all the hurt she's caused Lorelai, but goes to see Luke to make things right."
5.17,Pulp Friction,"Rory and Logan's casual dating situation gets more complicated when Rory spots Logan with another girl and her jealousy sets in. Rory decides to go to a party with a guy she barely knows, which makes Logan jealous. Luke and Lorelai resolve things, but Lorelai is still upset with her mom and refuses to go to Friday night dinners, which makes Emily wonder if Luke followed through on their previous discussion."
5.18,To Live and Let Diorama,"Luke volunteers to help convert old man Twickum's house into a museum just to see if he can buy it. Meanwhile with the help of some Founder's day punch, Lane, Paris and Rory commiserate about their love lives. Lorelai forgets to keep some news off the record when she is interviewed by a magazine about the success of the Dragonfly Inn."
5.19,But I'm a Gilmore,"After realizing that casual dating isn't for her, Rory tries to break things off with Logan, causing him to agree to see her exclusively. Logan's family isn't happy about the match despite Rory's breeding. Luke's patience is tried as he takes over as temporary chef at the Dragonfly while pregnant Sookie is ordered to bed rest, but Sookie has trouble giving up control of her kitchen. Meanwhile, Paris finds out where Doyle has been all weekend."
5.2,How Many Kropogs to Cape Cod,"Taylor agrees the museum is a bust. Lorelai meets to discuss selling the Dragonfly while Rory starts her new internship with Logan's father. Friday night dinner with the grandparents goes great for Logan and Rory while Lorelai, after begging to attend, gets the cold shoulder."
5.21,Blame Booze and Melville,The article about the Dragonfly comes out and Luke and Lorelai celebrate. Sookie goes into labor. Logan's dad Mitchum reviews Rory's work and Luke has competition from an unlikely source to buy the Twickham house.
5.22,A House is Not A Home,"Rescuing Rory after a night of reckless behavior with Logan, Lorelai is shocked to hear her daughter's plans for the future. Lorelai first turns to Richard and Emily for help, but soon realizes that Luke is the only person she can trust."
6.1,New and Improved Lorelai Gilmore,"Luke answers Lorelai's question and as news of Luke's reply leaks to the denizens of Stars Hollow, the untraditional proposal stirs up more talk than the answer itself. Richard and his lawyer go to bat for Rory in court for her yacht incident, but the judge is tougher than expected."
6.2,Fight Face,"Feeling a little lonely, Lorelai adopts a dog. Luke agrees to repair Lorelai's house, rather than buy the Twykham house. This soon turns into trouble as TJ does some unwanted construction on the house. Rory starts her community service assignment. Feeling neglected and unhappy with how things are going, Rory visits Luke at his diner. He lets it slip that he and Lorelai are engaged, leaving Rory feeling even more alone. "
6.3,The UnGraduate,"Sookie creates a S'mores wedding cake, so what more does Lorelai need to set a date? Logan comes home, Lane and the band come home and Paul Anka eats three pounds of chocolate while under Luke's care."
6.4,"Always a Godmother, Never a God",Church ladies. Lorelai and Rory don their proper summer dresses and show up at the baptismal font to godmothers to Sookie's children - a clever ploy on Sookie's part to get the Gilmore girls back together.
6.5,We've Got Magic To Do,"There is a fire in Sookie's kitchen at the inn, and Lorelai has to get Richard to help with the insurance. Rory volunteers to organize an event for the D.A.R. and proves successful, but it turns into a show-off between the Gilmores and the Huntzbergers. Lorelai is surprised that Luke would rather go to dance recitals with her than go camping like he used to do."
6.6,Welcome To The Dollhouse,"Taylor comes up with a plan for boosting local tourism by reviving old street names. Lorelai supports his idea for once, until the new street name for the Dragonfly will be. Logan brings Rory a special gift, Lorelai starts receiving strange antiques in the mail, and Richard begins to have concerns about Rory's future."
6.7,Twenty-One is the Loneliest Number,"Stars Hollow prepares for Halloween, and Lorelai has elaborate plans. Emily throws Rory a big party for her 21st birthday, and Rory invites Lorelai. Richard and Emily find out Rory is having sex, and Richard fears they may have made a mistake in letting her dwell with them."
6.8,Let me Hear You Balalakas Ringing Out,"Who can finally get Rory thinking she made a BIG mistake dropping out of Yale? If you guess Jess, you're right. Her old flame returns with exciting news about his life... and some blunt advice about hers. Luke sponsors a girls' soccer team, but takes issue with the team's tough play. Lorelai is distressed when her dog is sick and she can't seem to find a way to help it."
6.9,The Prodigal Daughter Returns,"Luke announces that the house remodeling is all done, but Lorelai has major problems with her new old bedroom set. When Chris calls for the first time in a year it sparks a fight. Rory is crashing with Lane after leaving her grandparents' house. Determined like never before, she sets out to get a job, prepare her return to Yale and finally come home to her mother. Meanwhile, a girl with a science project comes to the diner to study Luke's DNA."
